kata typo;kata normal
blm;belum
hr;hari
tp;tapi
udh;sudah
udah;sudah
wes;sudah
dah;sudah
sy;saya
nerima;terima
bgt;banget
dr;dari
ga;tidak
gak;tidak
nggak;tidak
sampe;sampai
nyampe2;sampai
nyampe;sampai
nyampai;sampai
teko;sampai
bs;bisa
bsa;bisa
cepet;cepat
gercep;cepat
ngertiin;mengerti
reliabel;reliable
proffesional;professional
bener;benar
ngecewain;mengecewakan
komplen;komplain
tdk;tidak
ngk;tidak
payahhh;payah
kacauuu;kacau
nyesel;menyesal
nda;tidak
boong;bohong
kagak;tidak
nyebelin;menyebalkan
males;malas
siyok;kaget
jgn;jangan
gabuuuut;gabut
mendem;terpendam
korbanin;mengorbankan
nunggu;tunggu
betek;kesal
kesel;kesal
eneg;muak
diem;diam
oon;bodoh
ngeludah;meludah
capek;lelah
kmarin;kemarin
ngaret;terlambat
nyampek;sampai
ilang;hilang
pake;pakai
lg;lagi
tgl;tanggal
sampe2;sampai
yg;yang
iseng2;iseng
jalan2;jalan
ngga;tidak
engga;tidak
jg;juga
nunggu2;tunggu
ktnya;katanya
bener2;benar
sblmnya;sebelumnya
skrg;sekarang
sampai2;sampai
bdg;bandung
jkt;jakarta
tu;itu
paket2;paket
knp;kenapa
mlah;malah
smpe;sampai
skrng;sekarang
krn;karena
mgkin;mungkin
pling;paling
cpt;cepat
nyampainya;sampai
ujung2nya;ujung
bisa2;bisa
sby;surabaya
orang2;orang
trs;terus
dgn;dengan
pdhl;padahal
lgsg;langsung
t4;tempat
tlp;telefon
tlp2;telefon
muter2;berputar
gede;besar
lamaa;lama
bagaimna;bagaimana
kmrn;kemarin
syok;kaget
org;orang
beresin;selesaikan
brg;barang
tlpn;telefon
enggk;tidak
nggk;tidak
brng;barang
sdg;sedang
aman2;aman
ka;kakak
ngirim;kirim
karna;karena
nyampenya;sampai
jan;jangan
gag;tidak
lau;kamu
akuu;aku
menanykan;menanyakan
apa2;apa
muter;beputar
pke;pakai
"aman""";aman
gw;aku
make;pakai
tumbenan;tumben
temen2;teman
hati2;waspada
batalin;membatalkan
telpon;telefon
tiati;waspada
ngubahnya;mengubah
harusnya;seharusnya
paketnya;paket
orangnya;orang
"muter""";berputar
yng;yang
ky;seperti
tuh;itu
jakut;jakarta utara
tgn;tangerang
yaa;iya
tdi;tadi
nelpon;telefon
naruu;naruh
sma;sama
gk;tidak
no;nomor
telp;telefon
uda;sudah
pokonya;pokoknya
telat2;telat
utk;untuk
kl;kalau
gmn;bagaimana
skrarang;sekarang
jga;juga
"berangkat""";berangkat
malahan;malah
prnah;pernah
boking;booking
blom;belum
senen;senin
gada;tidak ada
gaada;tidak ada
dlm;dalam
bs2;bisa
gateaway;gateway
nov;november
kmna;kemana
pagi2;pagi
lagi2;lagi
lmg;lumajang
okt;oktober
trimakasih;terima kasih
ubah2;ubah
otw;on the way
bales;balas
"dteng""";datang
dteng;datang
gabisa;tidak bisa
tlong;tolong
segra;segera
krimkn;kirimkan
hlo;halo
kesian;kasian
dkrm;dikirim
ditlp;ditelefon
marah2;marah
nmr;nomor
lgs;langsung
nyampai2;sampai
plbg;palembang
nnya;nanya
dkirim;dikirim
dm;direct message
ket;keterangan
dtg;datang
baik2;baik
sya;saya
keluar2;keluar
tulung;tolong
pengirimn;pengiriman
berkali2;berulang kali
lgsung;langsung
qt;kita
yw;iya
ongkir;ongkos kirim
cod;cash on delivery
aj;saja
bwt;buat
dl;dahulu
mandek;berhenti
mandeg;berhenti
cmn;hanya
ina;indonesia
pket;paket
min;admin
kpn;kapan
wa;whatsapp
mimin;admin
hrs;harus
sj;saja
terkirim2;terkirim
berbelit2;berbelit
aja;saja
ngasih;memberi
belom;belum
mas2;mas
qw;aku
trus;terus
kak;kakak
kaka;kakak
tsb;tersebut
"nyampai""";sampai
disna;disana
pketnya;paketnya
klo;kalau
tpi;tapi
menunda2;menunda
ngantar;antar
sdgkan;sedangkan
sm;sama
ditunda2;ditunda
kab;kabupaten
malh;malah
lbh;lebih
tnya;tanya
dsn;disana
gimane;bagaimana
gimana;bagaimana
kemaren;kemarin
ndak;tidak
gapapa;tidak apa
gabakal;tidak akan
bbrp;beberapa
ngasal;sembarangan
gua;aku
trima;terima
nungguin;tunggu
bapa;bapak
bertahun2;bertahun
cust;pelanggan
kostumer;pelanggan
bnr;benar
gt;gitu
slalu;selalu
nanya2;tanya
nganterin;mengantarkan
walopun;walaupun
lmyn;lumayan
krna;karena
kcewain;mengecewakan
perna;pernah
aq;aku
emang;memang
gara2;gara-gara
kalao;kalau
bergerak2;bergerak
kira2;kira-kira
aing;aku
taro;taruh
kb. Jeruk;kebon jeruk
notip;notifikasi
dipake;dipakai
dtrima;diterima
dtng;datang
mash;masih
bjm;banjarmasin
gmna;bagaimana
gda;tidak ada
kasi;kasih
dpick;dipick
pengen;ingin
bsok;besok
mna;mana
hrsny;seharusnya
ni;ini
brantakan;berantakan
gr2;gara-gara
dsr;dasar
makananny;makanannya
dateng;datang
ngelempar2;lempar
msh;masih
apalg;apalagi
blum;belum
ad;ada
kk;kakak
notif;notifikasi
dng;dengan
bpk;bapak
cs;customer service
smpai;sampai
dmna;dimana
mlm;malam
kbetulan;kebetulan
lgi;lagi
tngah;tengah
hallo;halo
gtu;gitu
gadak;tidak ada
"mudah""an";semoga
direspon2;direspon
lsg;langsung
mmpir;mampir
tiba2;tiba-tiba
pdahal;padahal
tau2;tiba-tiba
btg;batang
smrg;semarang
knapa;kenapa
knpa;kenapa
sampei;sampai
pky;palangka raya
pakek;pakai
deket;dekat
nganter;antar
dri;dari
kmren;kemarin
agen2;agen
gajelas;tidak jelas
mentang2;mentang-mentang
gga;tidak
mreka;mereka
ksna;kesana
jln;jalan
mo;mau
u/;untuk
apdet;update
kunaon;kenapa
kirim2;kirim
tmbh;tambah
pen;ingin
kaga;tidak
ig;instagram
sosmed;sosial media
ditlpn;ditelefon
bc;baca
mbk;mbak
tlg;tolong
tlng;tolong
emg;memang
mamang;tukang
pd;pada
pku;pekanbaru
"titip""";titip
tangsel;tangerang selatan
wong;orang
expedisi;ekspedisi
bea;biaya
kpan;kapan
plis;tolong
jwab;jawab
nyampeny;sampainya
gue;aku
"sampe""";sampai
cuman;hanya
msalah;masalah
helo;halo
gadateng;tidak datang
gadateng2;tidak datang
hola;halo
holla;halo
kec;kecataman
setatus;status
tggl;tanggal
gegara;gara-gara
jd;jadi
grgr;gara-gara
bsk;besok
sehat2;sehat
kdg;kadang
abg;abang
ngaco;sembarangan
mmg;memang
ybs;yang bersangkutan
sebel;sebal
jakrta;jakarta
ampe;sampai
socmed;sosial media
olshop;online shop
berhari2;berhari-hari
komplein;komplain
"akhir""";akhir
akhir2;akhir
soalny;soalnya
ndekem;diam
kelen;kalian
batre;baterai
samp;sampai
tetep;tetap
soale;soalnya
anter;antar
miskom;miss communication
brang;barang
adlh;adalah
byar;bayar
bngt;banget
sellu;selalu
sdh;sudah
mw;mau
"baik""";baik
barng;barang
kadang2;kadang
complain;komplain
krdus;kardus
ngak;tidak
wkt;waktu
mol2;mall
